,Brand,Processor,Operating_System,Ram_1,SSD,HDD,Touch_Screen,MRP,Price
0,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
1,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
2,ASUS,i3,win11,8,512,0,no,"₹32,990",32990
3,HP,r5,win10,8,512,0,no,"₹49,990",49990
4,ASUS,i5,win11,8,512,0,no,"₹49,990",49990
5,HP,i3,win11,8,256,0,no,"₹36,990",36990
6,DELL,i3,win11,8,256,1000,no,"₹38,990",38990
7,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
8,realme,i3,win10,8,256,0,no,"₹46,990",46990
9,ASUS,r7,win11,16,512,0,no,"₹44,990",44990
10,HP,r5,win11,8,512,0,no,"₹59,990",59990
11,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
12,ASUS,i3,win11,8,256,0,no,"₹32,990",32990
13,ASUS,r5,win11,8,512,0,no,"₹52,990",52990
14,acer,i3,win11,8,256,0,no,"₹29,990",29990
15,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
16,ASUS,i5,win11,8,256,1000,no,"₹47,990",47990
17,ASUS,i5,win11,8,512,0,no,"₹45,990",45990
18,MSI,r5,win11,8,512,0,no,"₹47,990",47990
19,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
20,APPLE,M1,MacOS,8,256,0,no,"₹88,990",88990
21,HP,i3,win11,8,512,0,no,"₹40,990",40990
22,Lenovo,Celeron,DOS,4,256,256,no,"₹19,490",19490
23,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
24,HP,i5,win11,8,512,0,no,"₹65,990",65990
25,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
26,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
27,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
28,acer,i5,win11,16,512,0,no,"₹58,990",58990
29,realme,i3,win10,8,256,0,no,"₹46,990",46990
30,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
31,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
32,acer,r3,win11,8,256,0,no,"₹24,990",24990
33,acer,r5,win11,8,512,0,no,"₹47,990",47990
34,ASUS,r7,win11,8,512,0,no,"₹73,990",73990
35,Lenovo,i5,win11,8,512,0,no,"₹53,490",53490
36,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
37,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
38,Lenovo,i5,win11,8,512,0,no,"₹51,990",51990
39,ASUS,i5,win11,16,512,0,yes,"₹66,990",66990
40,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
41,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
42,acer,r5,win11,16,512,0,no,"₹51,990",51990
43,HP,Athlon,win11,8,256,0,no,"₹25,990",25990
44,acer,r5,win11,8,512,0,no,"₹35,990",35990
45,ASUS,i5,win11,8,512,0,no,"₹43,990",43990
46,Lenovo,r5,win11,8,512,0,no,"₹44,990",44990
47,Lenovo,r5,win11,8,512,0,no,"₹64,490",64490
48,ASUS,i3,win11,8,256,0,no,"₹40,990",40990
49,ASUS,i3,win11,8,512,0,no,"₹38,990",38990
50,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
51,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
52,HP,i5,win11,8,512,0,no,"₹58,990",58990
53,realme,i5,win10,8,512,0,no,"₹59,990",59990
54,acer,i5,win10,8,512,0,no,"₹47,990",47990
55,HP,r3,win11,8,512,0,no,"₹37,499",37499
56,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
57,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
58,ASUS,r9,win10,8,1000,0,no,"₹94,990",94990
59,ASUS,i3,win11,8,512,0,no,"₹32,990",32990
60,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
61,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
62,ASUS,Celeron,win11,4,256,0,no,"₹23,990",23990
63,HP,r5,win11,16,512,0,no,"₹48,990",48990
64,APPLE,M2,MacOS,8,512,0,no,"₹1,39,990",139990
65,ASUS,r7,win11,16,512,0,no,"₹89,990",89990
66,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
67,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
68,ASUS,r5,win11,8,1000,0,no,"₹59,990",59990
69,DELL,r5,win11,16,512,0,no,"₹70,990",70990
70,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
71,Lenovo,r5,win11,8,512,0,no,"₹44,990",44990
72,Infinix,Celeron,win11,8,256,0,no,"₹22,990",22990
73,HP,r5,win11,8,512,0,no,"₹46,990",46990
74,ASUS,i5,win10,8,256,1000,no,"₹50,990",50990
75,Infinix,i3,win11,8,256,0,no,"₹28,990",28990
76,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
77,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
78,MSI,i7,win10,16,512,0,no,"₹84,990",84990
79,APPLE,M1P,MacOS,16,512,0,no,"₹1,81,990",181990
80,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
81,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
82,MSI,r9,win11,16,1000,0,no,"₹1,09,990",109990
84,Infinix,i5,win11,16,512,0,no,"₹37,990",37990
85,APPLE,M2,MacOS,8,512,0,no,"₹1,39,990",139990
86,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
87,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
88,Lenovo,i3,win11,4,256,0,no,"₹29,990",29990
89,Lenovo,Celeron,Chrome,4,0,0,no,"₹19,490",19490
90,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
91,Lenovo,r7,win11,8,512,0,no,"₹73,490",73490
92,ASUS,r5,win11,8,256,1000,no,"₹52,990",52990
93,HP,i3,win11,8,512,0,no,"₹41,890",41890
94,DELL,Pentium,win11,8,256,0,no,"₹30,428",30428
95,acer,i3,win11,8,512,0,no,"₹34,990",34990
96,Lenovo,Celeron,Chrome,4,0,0,no,"₹19,490",19490
97,Lenovo,i3,win11,4,256,0,no,"₹29,990",29990
98,APPLE,M1,MacOS,8,256,0,no,"₹88,990",88990
99,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
100,MSI,i7,win10,8,512,0,no,"₹65,990",65990
101,ASUS,i3,win11,8,512,0,no,"₹33,490",33490
102,HP,i5,win11,16,512,0,no,"₹60,990",60990
103,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
104,HP,r5,win11,8,512,0,no,"₹46,990",46990
105,ASUS,r7,win11,16,512,0,no,"₹59,990",59990
106,MSI,i7,win10,16,1000,0,no,"₹1,14,990",114990
107,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
